,Fin de vie,,,,,,,,,,,,,,,,,,,
Données équipements,PEF-ADPe,PEF-ADPf ,PEF-AP,PEF-CTUe ,PEF-CTUh-c ,PEF-CTUh-nc ,PEF-Epf ,PEF-Epm ,PEF-Ept ,PEF-GWP ,PEF-GWPb ,PEF-GWPf ,PEF-GWPlu ,PEF-IR ,PEF-LU ,PEF-ODP ,PEF-PM ,PEF-POCP ,PEF-WU ,MIPS 
Terminaux (personnel),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serveur DC/Cloud (PAS DE REVUE CRITIQUE),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serveur rack - petit,"1,73E-05","9,56E+01","7,73E-02","1,51E+03","1,68E-08","5,92E-07","1,91E-04","4,45E-02","5,99E-02","6,53E+00","2,83E-01","6,25E+00","0,00E+00","5,46E-01","1,59E+01","6,51E-07","3,38E-07","1,93E-02","0,00E+00","4,07E+01"
Serveur rack - moyen,"2,47E-05","1,30E+02","9,46E-02","1,75E+03","2,30E-08","7,23E-07","2,63E-04","5,21E-02","8,00E-02","8,74E+00","3,73E-01","8,36E+00","0,00E+00","7,32E-01","2,03E+01","8,84E-07","4,49E-07","2,53E-02","0,00E+00","5,74E+01"
Serveur rack - grand,"6,16E-05","3,60E+02","3,20E-01","6,60E+03","6,30E-08","2,45E-06","7,11E-04","1,91E-01","2,27E-01","2,48E+01","1,10E+00","2,36E+01","0,00E+00","2,14E+00","6,47E+01","2,45E-06","1,30E-06","7,45E-02","0,00E+00","1,49E+02"
Serveur blade,"9,84E-06","4,95E+01","3,23E-02","5,47E+02","8,91E-09","2,47E-07","1,02E-04","1,68E-02","3,04E-02","3,34E+00","1,38E-01","3,20E+00","0,00E+00","2,67E-01","7,09E+00","3,36E-07","1,67E-07","9,40E-03","0,00E+00","2,27E+01"
Switch,"1,79E-05","1,11E+02","1,12E-01","2,38E+03","1,97E-08","8,59E-07","2,17E-04","6,91E-02","7,37E-02","8,00E+00","3,54E-01","7,64E+00","0,00E+00","6,58E-01","2,10E+01","7,64E-07","4,17E-07","2,44E-02","0,00E+00","4,39E+01"
Salle technique de centre de données,"2,43E-06","6,92E+02","3,73E-01","4,33E+02","3,90E-08","2,85E-07","3,65E-02","1,54E-01","1,41E+00","5,04E+01","0,00E+00","5,04E+01","0,00E+00","1,03E+00","0,00E+00","6,59E-07","2,31E-06","3,89E-01","0,00E+00","4,83E+02"
Bâtiments et environnement technique de centre de données,"3,78E-05","7,23E+01","5,23E-02","5,63E+02","3,82E-08","2,15E-07","2,09E-03","2,09E-02","8,22E-02","3,73E+00","1,74E-01","3,55E+00","2,76E-03","4,58E-01","1,40E+01","2,48E-07","4,08E-07","2,41E-02","0,00E+00","2,33E+01"
Baie de stockage,"9,32E-05","4,65E+02","2,83E-01","4,72E+03","8,18E-08","2,16E-06","9,52E-04","1,43E-01","2,74E-01","3,01E+01","1,27E+00","2,88E+01","0,00E+00","2,57E+00","6,69E+01","3,12E-06","1,54E-06","8,49E-02","0,00E+00","2,14E+02"
