,Distribution,,,,,,,,,,,,,,,,,,,
Données équipements,PEF-ADPe,PEF-ADPf ,PEF-AP,PEF-CTUe ,PEF-CTUh-c ,PEF-CTUh-nc ,PEF-Epf ,PEF-Epm ,PEF-Ept ,PEF-GWP ,PEF-GWPb ,PEF-GWPf ,PEF-GWPlu ,PEF-IR ,PEF-LU ,PEF-ODP ,PEF-PM ,PEF-POCP ,PEF-WU ,MIPS 
Terminaux (personnel),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Fibre optique 288 brins,"1,18E-09","4,16E-01","1,16E-03","2,02E-02","4,89E-13","9,99E-11","1,13E-08","2,72E-04","2,99E-03","3,32E-02","0,00E+00","3,32E-02","0,00E+00","6,81E-05","0,00E+00","4,27E-11","6,07E-09","7,68E-04","1,08E-04","1,34E-02"
Fibre optique 576 brins,"1,43E-09","5,04E-01","1,40E-03","2,44E-02","5,93E-13","1,21E-10","1,37E-08","3,29E-04","3,62E-03","4,02E-02","0,00E+00","4,02E-02","0,00E+00","8,25E-05","0,00E+00","5,17E-11","7,35E-09","9,30E-04","1,31E-04","1,62E-02"
Fibre optique 720 brins,"1,55E-09","5,47E-01","1,52E-03","2,66E-02","6,44E-13","1,32E-10","1,49E-08","3,58E-04","3,93E-03","4,37E-02","0,00E+00","4,37E-02","0,00E+00","8,96E-05","0,00E+00","5,62E-11","7,99E-09","1,01E-03","1,42E-04","1,76E-02"
Serveur DC/Cloud (PAS DE REVUE CRITIQUE),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serveur rack - petit,"1,64E-06","6,13E+02","1,90E-01","5,10E+01","9,71E-10","5,20E-08","1,47E-05","8,11E-02","8,86E-01","4,31E+01","0,00E+00","4,31E+01","0,00E+00","7,67E-01","0,00E+00","3,24E-07","1,16E-06","2,20E-01","3,53E-01","2,18E+01"
Serveur rack - moyen,"2,24E-06","8,41E+02","2,60E-01","7,00E+01","1,33E-09","7,13E-08","2,01E-05","1,11E-01","1,22E+00","5,91E+01","0,00E+00","5,91E+01","0,00E+00","1,05E+00","0,00E+00","4,45E-07","1,59E-06","3,01E-01","4,84E-01","2,99E+01"
Serveur rack - grand,"6,08E-06","2,28E+03","7,04E-01","1,90E+02","3,61E-09","1,93E-07","5,46E-05","3,01E-01","3,29E+00","1,60E+02","0,00E+00","1,60E+02","0,00E+00","2,85E+00","0,00E+00","1,21E-06","4,31E-06","8,17E-01","1,31E+00","8,09E+01"
Serveur blade,"8,67E-07","3,25E+02","1,01E-01","2,71E+01","5,15E-10","2,76E-08","7,79E-06","4,30E-02","4,70E-01","2,29E+01","0,00E+00","2,29E+01","0,00E+00","4,07E-01","0,00E+00","1,72E-07","6,15E-07","1,17E-01","1,87E-01","1,15E+01"
Switch,"1,88E-06","7,07E+02","2,18E-01","5,88E+01","1,12E-09","5,99E-08","1,69E-05","9,34E-02","1,02E+00","4,96E+01","0,00E+00","4,96E+01","0,00E+00","8,84E-01","0,00E+00","3,74E-07","1,34E-06","2,53E-01","4,07E-01","2,51E+01"
Salle technique de centre de données,"1,87E-06","6,64E+02","3,01E-01","3,20E+01","8,36E-10","9,05E-08","1,79E-05","1,42E-01","1,55E+00","4,76E+01","0,00E+00","4,76E+01","0,00E+00","1,16E-01","0,00E+00","7,29E-08","2,45E-06","3,91E-01","1,80E-01","2,14E+01"
Bâtiments et environnement technique de centre de données,"6,30E-08","2,24E+01","1,01E-02","1,08E+00","2,81E-11","3,05E-09","6,01E-07","4,77E-03","5,21E-02","1,60E+00","0,00E+00","1,60E+00","0,00E+00","3,91E-03","0,00E+00","2,45E-09","8,23E-08","1,32E-02","6,07E-03","7,22E-01"
Baie de stockage,"8,01E-06","3,00E+03","9,28E-01","2,50E+02","4,75E-09","2,54E-07","7,19E-05","3,97E-01","4,34E+00","2,11E+02","0,00E+00","2,11E+02","0,00E+00","3,76E+00","0,00E+00","1,59E-06","5,68E-06","1,08E+00","1,73E+00","1,07E+02"
